,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
444,2015/3/12,2444.415,2505.633,2485.114,2423.431,1247782,76.611,3.18,2418.107,2420.606,2416.133,888575.79,851335.67,773670.08,0.41
443,2015/3/13,2494.345,2532.154,2495.277,2477.396,1042059.44,10.163,0.41,2442.838,2422.675,2424.635,967379.26,869889.69,787307.49,2.23
442,2015/3/16,2512.353,2551.445,2550.861,2485.291,1041320.81,55.584,2.23,2467.037,2429.837,2433.839,963252,885969.25,802421.84,1.27
441,2015/3/17,2576.413,2586.431,2583.198,2556.469,1320920.5,32.337,1.27,2504.591,2448.476,2442.822,1070564.93,926786.56,834036.85,2.57
440,2015/3/18,2595.739,2649.816,2649.642,2592.264,1479588.25,66.444,2.57,2552.818,2473.641,2454.548,1226334.2,1010450.09,882746.77,-0.73
439,2015/3/19,2649.002,2649.002,2630.243,2613.765,1335958.62,-19.399,-0.73,2581.844,2499.976,2465.237,1243969.52,1066272.66,919213.53,1.92
438,2015/3/20,2642.798,2710.128,2680.679,2617.065,1537550,50.436,1.92,2618.925,2530.881,2477.898,1343067.64,1155223.45,954194.28,1.49
437,2015/3/23,2700.157,2724.644,2720.671,2690.48,1420919.38,39.992,1.49,2652.887,2559.962,2492.371,1418987.35,1191119.68,993936.19,-1.36
436,2015/3/24,2719.506,2720.03,2683.647,2649.621,1536175.75,-37.024,-1.36,2672.976,2588.784,2504.29,1462038.4,1266301.66,1040739.69,-1.28
435,2015/3/25,2674.352,2691.238,2649.161,2626.659,1322704,-34.486,-1.28,2672.88,2612.849,2516.375,1430661.55,1328497.88,1074881.2,1.46
434,2015/3/26,2637.527,2714.63,2687.762,2621.451,1334429.25,38.601,1.46,2684.384,2633.114,2526.86,1430355.68,1337162.6,1094249.14,0.06
433,2015/3/27,2693.189,2715.007,2689.24,2664.864,1198693.75,1.478,0.06,2686.096,2652.51,2537.592,1362584.43,1352826.03,1111357.86,3.54
